iter	Passed	Remaining
204	19851	135084
205	19949	135000
206	20028	134780
207	20128	134707
208	20230	134647
209	20300	134369
210	20403	134316
211	20487	134132
212	20585	134048
213	20677	133922
214	20781	133874
215	20847	133580
216	20949	133517
217	21058	133501
218	21159	133430
219	21261	133364
220	21364	133310
221	21445	133118
222	21548	133057
223	21653	133016
224	21745	132890
225	21839	132774
226	21955	132798
227	22056	132724
228	22161	132678
229	22251	132538
230	22361	132522
231	22481	132563
232	22586	132514
233	22681	132407
234	22771	132270
235	22878	132228
236	22977	132144
237	23078	132073
238	23197	132096
239	23280	131922
240	23384	131865
241	23470	131704
242	23571	131629
243	23691	131661
244	23811	131693
245	23929	131709
246	24039	131681
247	24156	131692
248	24256	131609
249	24359	131540
250	24465	131489
251	24574	131453
252	24682	131411
253	24754	131178
254	24848	131065
255	24938	130929
256	25025	130773
257	25133	130731
258	25227	130618
259	25326	130531
260	25426	130445
261	25521	130333
262	25613	130211
263	25707	130094
264	25808	130016
265	25901	129897
266	25979	129702
267	26077	129608
268	26163	129453
269	26263	129374
270	26364	129293
271	26465	129215
272	26557	129092
273	26652	128982
274	26755	128914
275	26846	128785
276	26917	128560
277	27003	128410
278	27096	128296
279	27193	128197
280	27257	127943
281	27349	127823
282	27446	127728
283	27527	127555
284	27620	127440
285	27724	127376
286	27820	127277
287	27953	127342
288	28041	127203
289	28153	127178
290	28257	127108
291	28362	127047
292	28465	126978
293	28563	126883
294	28664	126806
295	28766	126727
296	28869	126658
297	28971	126582
298	29065	126469
299	29161	126366
300	29270	126318
301	29375	126258
302	29474	126164
303	29569	126058
304	29650	125894
305	29746	125791
306	29843	125690
307	29949	125633
308	30040	125506
309	30136	125406
310	30234	125311
311	30320	125168
312	30425	125104
313	30526	125021
314	30637	124982
315	30708	124778
316	30779	124573
317	30848	124362
318	30937	124236
319	31027	124109
320	31121	124000
321	31213	123883
322	31304	123764
323	31392	123631
324	31485	123520
325	31565	123356
326	31661	123258
327	31764	123182
328	31857	123071
329	31953	122974
330	32029	122796
331	32123	122687
332	32222	122600
333	32306	122454
334	32395	122329
335	32490	122225
336	32559	122024
337	32651	121912
338	32725	121730
339	32811	121595
340	32900	121470
341	32971	121280
342	33060	121156
343	33135	120982
344	33228	120876
345	33318	120754
346	33390	120569
347	33471	120421
348	33541	120229
349	33625	120091
350	33715	119974
351	33793	119811
352	33866	119634
353	33956	119518
354	34050	119416
355	34124	119243
356	34221	119153
357	34293	118974
358	34390	118881
359	34470	118730
360	34566	118635
361	34659	118531
362	34748	118414
363	34817	118225
364	34906	118107
365	34986	117961
366	35068	117818
367	35154	117691
368	35249	117593
369	35330	117450
370	35428	117363
371	35521	117259
372	35591	117080
373	35656	116884
374	35722	116692
375	35812	116582
376	35910	116493
377	35987	116340
378	36085	116255
379	36174	116140
380	36246	115969
381	36327	115830
382	36422	115734
383	36505	115601
384	36597	115494
385	36691	115396
386	36777	115273
387	36852	115116
388	36946	115019
389	37027	114880
390	37127	114800
391	37227	114722
392	37333	114659
393	37401	114482
394	37509	114428
395	37608	114346
396	37703	114248
397	37795	114145
398	37880	114020
399	37973	113919
400	38062	113808
401	38138	113656
402	38230	113552
403	38311	113416
404	38377	113237
405	38453	113086
406	38522	112916
407	38621	112836
408	38719	112749
409	38796	112603
410	38882	112485
411	38960	112341
412	39043	112214
413	39124	112081
414	39216	111978
415	39326	111929
416	39397	111767
417	39493	111678
418	39584	111572
419	39678	111478
420	39772	111380
421	39866	111285
422	39934	111118
423	40032	111032
424	40129	110945
425	40195	110774
426	40287	110672
427	40352	110497
428	40449	110412
429	40543	110316
430	40638	110224
431	40710	110068
432	40774	109893
433	40847	109741
434	40945	109659
435	41029	109536
436	41116	109425
437	41183	109259
438	41280	109171
439	41376	109082
440	41470	108989
441	41568	108906
442	41663	108813
443	41739	108671
444	41832	108575
445	41904	108425
446	41989	108307
447	42093	108241
448	42192	108160
449	42283	108057
450	42376	107962
451	42469	107864
452	42567	107781
453	42658	107679
454	42741	107559
455	42829	107449
456	42923	107355
457	42999	107217
458	43081	107093
459	43175	106999
460	43270	106909
461	43362	106809
462	43427	106646
463	43497	106493
464	43593	106406
465	43676	106284
466	43760	106167
467	43856	106079
468	43920	105914
469	44016	105827
470	44104	105719
471	44199	105628
472	44295	105542
473	44389	105447
474	44468	105320
475	44549	105197
476	44615	105038
477	44708	104943
478	44801	104848
479	44871	104701
480	44938	104544
481	45009	104400
482	45101	104303
483	45199	104220
484	45293	104127
485	45379	104018
486	45475	103930
487	45563	103824
488	45653	103724
489	45747	103631
490	45843	103544
491	45941	103462
492	46021	103338
493	46117	103251
494	46203	103140
495	46267	102982
496	46362	102893
497	46456	102801
498	46536	102679
499	46627	102580
500	46724	102495
501	46822	102412
502	46892	102267
503	46968	102138
504	47067	102058
505	47136	101911
506	47227	101813
507	47320	101721
508	47394	101587
509	47482	101483
510	47578	101394
511	47660	101278
512	47736	101148
513	47814	101025
514	47911	100938
515	48009	100857
516	48126	100815
517	48220	100723
518	48317	100637
519	48411	100547
520	48482	100407
521	48570	100304
522	48665	100215
523	48770	100147
524	48840	100006
525	48934	99915
526	49029	99827
527	49121	99731
528	49207	99624
529	49297	99525
530	49386	99424
531	49480	99332
532	49575	99243
533	49647	99109
534	49726	98989
535	49821	98898
536	49914	98805
537	49996	98692
538	50085	98590
539	50159	98460
540	50236	98337
541	50327	98240
542	50422	98151
543	50517	98064
544	50611	97972
545	50706	97883
546	50799	97792
547	50901	97715
548	50995	97625
549	51091	97538
550	51181	97440
551	51278	97354
552	51372	97264
553	51468	97176
554	51552	97067
555	51642	96969
556	51740	96884
557	51820	96768
558	51903	96657
559	51999	96571
560	52080	96456
561	52172	96360
562	52244	96230
563	52315	96096
564	52398	95985
565	52487	95887
566	52587	95806
567	52676	95708
568	52764	95606
569	52851	95503
570	52917	95363
571	52999	95251
572	53086	95147
573	53167	95035
574	53252	94928
575	53346	94839
576	53443	94753
577	53535	94658
578	53617	94548
579	53703	94444
580	53770	94306
581	53859	94208
582	53958	94126
583	54041	94017
584	54132	93922
585	54224	93829
586	54319	93741
587	54413	93650
588	54502	93551
589	54586	93445
590	54682	93358
591	54761	93242
592	54849	93141
593	54938	93043
594	55025	92942
595	55116	92847
596	55218	92770
597	55310	92677
598	55401	92582
599	55487	92478
600	55569	92369
601	55657	92269
602	55726	92138
603	55814	92037
604	55900	91935
605	55973	91811
606	56060	91709
607	56155	91621
608	56250	91534
609	56341	91440
610	56411	91311
611	56476	91174
612	56564	91075
613	56651	90974
614	56746	90887
615	56839	90795
616	56917	90681
617	56993	90561
618	57089	90476
619	57186	90391
620	57265	90278
621	57346	90168
622	57432	90067
623	57521	89969
624	57615	89879
625	57703	89782
626	57796	89690
627	57869	89567
628	57955	89467
629	58049	89377
630	58147	89294
631	58236	89196
632	58328	89104
633	58414	89004
634	58509	88916
635	58605	88829
636	58696	88735
637	58779	88629
638	58869	88533
639	58966	88450
640	59045	88337
641	59144	88255
642	59233	88159
643	59323	88064
644	59412	87968
645	59506	87877
646	59593	87777
647	59683	87682
648	59768	87580
649	59859	87486
650	59949	87391
651	60031	87285
652	60130	87203
653	60217	87103
654	60308	87010
655	60398	86915
656	60487	86818
657	60571	86715
658	60655	86610
659	60744	86514
660	60824	86406
661	60913	86310
662	61003	86214
663	61099	86128
664	61192	86037
665	61284	85946
666	61370	85845
667	61457	85745
668	61537	85637
669	61630	85547
670	61720	85452
671	61812	85360
672	61907	85272
673	61996	85175
674	62085	85079
675	62187	85002
676	62263	84888
677	62356	84796
678	62444	84700
679	62538	84610
680	62632	84521
681	62720	84424
682	62793	84306
683	62884	84213
684	62974	84119
685	63067	84028
686	63146	83919
687	63225	83811
688	63297	83692
689	63390	83602
690	63481	83508
691	63576	83420
692	63668	83330
693	63745	83218
694	63840	83130
695	63927	83032
696	64019	82940
697	64106	82843
698	64195	82746
699	64285	82652
700	64372	82555
701	64460	82457
702	64544	82355
703	64624	82249
704	64719	82161
705	64812	82071
706	64898	81971
707	64984	81873
708	65077	81783
709	65171	81694
710	65261	81599
711	65356	81512
712	65437	81406
713	65525	81310
714	65611	81210
715	65710	81128
716	65796	81030
717	65886	80935
718	65962	80825
719	66055	80734
720	66145	80641
721	66230	80540
722	66318	80443
723	66413	80356
724	66507	80267
725	66599	80176
726	66688	80080
727	66762	79967
728	66853	79875
729	66934	79770
730	67024	79677
731	67119	79589
732	67208	79494
733	67303	79406
734	67380	79297
735	67476	79211
