iter	Logloss
271	0.4136014025
272	0.4135269926
273	0.4134692867
274	0.4134016667
275	0.413339309
276	0.4132868126
277	0.4132456168
278	0.413210833
279	0.4131543769
280	0.4130934621
281	0.4130421814
282	0.4129970352
283	0.4129271279
284	0.4128670535
285	0.4128237568
286	0.4127530797
287	0.4126928621
288	0.4126321388
289	0.4125731751
290	0.4125313486
291	0.4124777632
292	0.4124086024
293	0.4123564293
294	0.4122986954
295	0.4122359204
296	0.4121774325
297	0.4121177206
298	0.4120721385
299	0.412038999
300	0.4119872421
301	0.4119299574
302	0.4118882011
303	0.4118270543
304	0.4117863343
305	0.4117545852
306	0.4117032475
307	0.4116769098
308	0.4116673657
309	0.4116034274
310	0.4115631339
311	0.4115226939
312	0.4114651783
313	0.4113967074
314	0.4113663098
315	0.4113172767
316	0.4112619183
317	0.4112285524
318	0.4111569484
319	0.4111044146
320	0.41107601
321	0.4110380432
322	0.4109676264
323	0.4109205947
324	0.4108612064
325	0.4108021845
326	0.4107393276
327	0.4106772478
328	0.4106315016
329	0.4105882435
330	0.410536082
331	0.4104789104
332	0.4104109079
333	0.4103531474
334	0.4103049473
335	0.4102615377
336	0.4101906875
337	0.4101360417
338	0.4100998957
339	0.4100433897
340	0.4099887347
341	0.4099452441
342	0.4098861197
343	0.4098576488
344	0.4098032078
345	0.4097439907
346	0.4096971263
347	0.4096548057
348	0.4095824917
349	0.4095294911
350	0.4094663594
351	0.409390425
352	0.4093413486
353	0.4092708436
354	0.4092094854
355	0.4091497655
356	0.4091129111
357	0.4090269087
358	0.4089954352
359	0.4089429762
360	0.4088868993
361	0.4088329936
362	0.4087702213
363	0.4087126875
364	0.4086771144
365	0.4086180758
366	0.4085636006
367	0.4084834783
368	0.4084449491
369	0.4083932723
370	0.408327265
371	0.4082536804
372	0.4081934528
373	0.4081523227
374	0.4080813703
375	0.4080255804
376	0.407989845
377	0.4079260839
378	0.407886486
379	0.407833911
380	0.4077783585
381	0.4077032096
382	0.4076524856
383	0.4075989453
384	0.4075453077
385	0.4074773837
386	0.4074290366
387	0.4074010502
388	0.4073570214
389	0.4073183784
390	0.4072709577
391	0.4072079435
392	0.4071490915
393	0.4070707581
394	0.4070300307
395	0.4069798481
396	0.406943698
397	0.4068973677
398	0.4068470066
399	0.4067884144
400	0.4067335367
401	0.4066806211
402	0.4066441606
403	0.40657612
404	0.4065255722
405	0.406482915
406	0.406402334
407	0.4063386895
408	0.4062911607
409	0.4062320238
410	0.4061796206
411	0.4061168752
412	0.4060424777
413	0.4059718548
414	0.4059449228
415	0.4058845766
416	0.4058378014
417	0.4058003383
418	0.4057418521
419	0.4056791298
420	0.4056065684
421	0.4055606516
422	0.4055081999
423	0.4054659011
424	0.405415379
425	0.4053640409
426	0.4052826482
427	0.4052175817
428	0.4051458794
429	0.4050794002
430	0.4050328326
431	0.4049612204
432	0.4048904519
433	0.4048391734
434	0.4047711101
435	0.4047273368
436	0.404679555
437	0.404609125
438	0.4045389808
439	0.4044906237
440	0.4044170605
441	0.4043789294
442	0.4043327031
443	0.4042501659
444	0.4042170432
445	0.40416247
446	0.4041053933
447	0.4040586441
448	0.404009404
449	0.4039741473
450	0.4039026984
451	0.4038614089
452	0.4038107848
453	0.4037397486
454	0.4036930671
455	0.4036335761
456	0.4035689508
457	0.4035063773
458	0.4034666496
459	0.4034022197
460	0.4033410096
461	0.4033109583
462	0.403261215
463	0.4032164245
464	0.4031511637
465	0.4030963431
466	0.4030365195
467	0.402980492
468	0.4029159961
469	0.4028617608
470	0.402824144
471	0.4027646595
472	0.4027094986
473	0.4026549081
474	0.4026095976
475	0.4025607709
476	0.4025198603
477	0.4024785587
478	0.4024067856
479	0.402365996
480	0.4023121496
481	0.4022490303
482	0.402190264
483	0.4021257757
484	0.4020959174
485	0.4020275409
486	0.4019781108
487	0.4019354157
488	0.4018681702
489	0.4018254846
490	0.4017582266
491	0.4017024809
492	0.4016530095
493	0.4016173968
494	0.4015483819
495	0.401505641
496	0.401457513
497	0.4014187435
498	0.4013790334
499	0.4013311622
500	0.401270495
501	0.4012204794
502	0.4011428326
503	0.4011035286
504	0.4010559346
505	0.4009912888
506	0.400931217
507	0.4008838581
508	0.4008253011
509	0.400777565
510	0.4007055985
511	0.4006403809
512	0.4005813769
513	0.4005168339
514	0.4004760433
515	0.4004346393
516	0.4003720846
517	0.4003316137
518	0.4002862977
519	0.4002393772
520	0.4001889028
521	0.4001388845
522	0.4000905947
523	0.4000526124
524	0.4000089138
525	0.3999381871
526	0.3998949907
527	0.3998599912
528	0.3998183368
529	0.3997650894
530	0.3997098952
531	0.3996597762
532	0.3996163985
533	0.3995756439
534	0.3995363505
535	0.3994742792
536	0.3994339752
537	0.3993882345
538	0.3993454791
539	0.399307739
540	0.3992443566
541	0.3992004807
542	0.3991908828
543	0.3991414458
544	0.3990961591
545	0.3990617072
546	0.3989930045
547	0.3989375991
548	0.3988969657
549	0.3988580102
550	0.3988190206
551	0.3987683499
552	0.3987131781
553	0.3986625989
554	0.3986159538
555	0.3985793249
556	0.3985104233
557	0.3984509965
558	0.3984158382
559	0.3983704333
560	0.3983431451
561	0.3982867586
562	0.3982528231
563	0.3982081321
564	0.3981663885
565	0.3981164201
566	0.3980793957
567	0.3980188836
568	0.3979766416
569	0.3979169797
570	0.3978785026
571	0.3978283216
572	0.3977783041
573	0.3977168209
574	0.3976797606
575	0.3976335576
576	0.3975891183
577	0.3975598175
578	0.3975056438
579	0.3974658306
580	0.3974210182
581	0.3973848735
582	0.3973396259
583	0.3972866528
584	0.3972399029
585	0.3971999815
586	0.397138937
587	0.3971032256
588	0.3970691315
589	0.3970437034
590	0.3970072605
591	0.3969602265
592	0.3969247293
593	0.396889013
594	0.396847745
595	0.396787433
596	0.396742368
597	0.3967048035
598	0.3966392441
599	0.3966031367
600	0.3965644494
601	0.396525488
602	0.3964902975
603	0.3964541002
604	0.3964150313
605	0.3963631449
606	0.3963279691
607	0.3962877137
608	0.3962314493
609	0.3961945256
610	0.3961558515
611	0.3961109147
612	0.3960553427
613	0.3960085355
614	0.3959645517
615	0.3959350658
616	0.3958958061
617	0.3958562193
618	0.3958000208
619	0.3957442658
620	0.3957181591
621	0.3956860947
622	0.395645277
623	0.3955940623
624	0.3955400015
625	0.3954860255
626	0.3954342104
627	0.3953772009
628	0.3953255702
629	0.3952817126
630	0.3952415437
631	0.3951691222
632	0.3951214134
633	0.3950698257
634	0.3950256139
635	0.3949962858
636	0.3949503509
637	0.3949000205
638	0.394855742
639	0.3948421518
640	0.3948029736
641	0.3947673445
642	0.3947194656
643	0.3946812881
644	0.3946214505
645	0.3945720272
646	0.3945385341
647	0.3945031875
648	0.3944593706
649	0.3944031199
650	0.3943781998
651	0.3943375532
652	0.3943109304
653	0.394285751
654	0.394234259
655	0.3941861479
656	0.3941512408
657	0.3941026836
658	0.3940672111
659	0.3940277622
660	0.3940005247
661	0.3939601038
662	0.3939207563
663	0.3938696862
664	0.3938458726
665	0.3938053612
666	0.3937637703
667	0.3936934451
668	0.3936579324
669	0.3936490855
670	0.3935930454
671	0.3935536072
672	0.3935015137
673	0.3934552273
674	0.3933978323
675	0.3933384894
676	0.393301412
677	0.3932766702
678	0.3932312506
679	0.3931979427
680	0.3931639961
681	0.3931104797
682	0.3930717391
683	0.3930362012
684	0.3930046021
